p1,p2,PB6
2,3,9.6667
2,5,25.4
2,7,49.2857
2,11,121.1818
2,13,169.1538
2,17,289.1176
2,19,361.1053
2,23,529.087
2,29,841.069
2,31,961.0645
2,37,1369.0541
2,41,1681.0488
2,43,1849.0465
2,47,2209.0426
2,53,2809.0377
2,59,3481.0339
2,61,3721.0328
2,67,4489.0299
2,71,5041.0282
2,73,5329.0274
2,79,6241.0253
2,83,6889.0241
2,89,7921.0225
2,97,9409.0206
2,101,10201.0198
2,103,10609.0194
2,107,11449.0187
2,109,11881.0183
2,113,12769.0177
2,127,16129.0157
2,131,17161.0153
2,137,18769.0146
2,139,19321.0144
2,149,22201.0134
2,151,22801.0132
2,157,24649.0127
2,163,26569.0123
2,167,27889.012
2,173,29929.0116
2,179,32041.0112
2,181,32761.011
2,191,36481.0105
2,193,37249.0104
2,197,38809.0102
2,199,39601.0101
2,211,44521.0095
2,223,49729.009
2,227,51529.0088
2,229,52441.0087
2,233,54289.0086
2,239,57121.0084
2,241,58081.0083
2,251,63001.008
2,257,66049.0078
2,263,69169.0076
2,269,72361.0074
2,271,73441.0074
2,277,76729.0072
2,281,78961.0071
2,283,80089.0071
2,293,85849.0068
2,307,94249.0065
2,311,96721.0064
2,313,97969.0064
2,317,100489.0063
2,331,109561.006
2,337,113569.0059
2,347,120409.0058
2,349,121801.0057
2,353,124609.0057
2,359,128881.0056
2,367,134689.0054
2,373,139129.0054
2,379,143641.0053
2,383,146689.0052
2,389,151321.0051
2,397,157609.005
2,401,160801.005
2,409,167281.0049
2,419,175561.0048
2,421,177241.0048
2,431,185761.0046
2,433,187489.0046
2,439,192721.0046
2,443,196249.0045
2,449,201601.0045
2,457,208849.0044
2,461,212521.0043
2,463,214369.0043
2,467,218089.0043
2,479,229441.0042
2,487,237169.0041
2,491,241081.0041
2,499,249001.004
2,503,253009.004
2,509,259081.0039
2,521,271441.0038
2,523,273529.0038
2,541,292681.0037
2,547,299209.0037
3,2,5.5
3,5,25.6
3,7,49.4286
3,11,121.2727
3,13,169.2308
3,17,289.1765
3,19,361.1579
3,23,529.1304
3,29,841.1034
3,31,961.0968
3,37,1369.0811
3,41,1681.0732
3,43,1849.0698
3,47,2209.0638
3,53,2809.0566
3,59,3481.0508
3,61,3721.0492
3,67,4489.0448
3,71,5041.0423
3,73,5329.0411
3,79,6241.038
3,83,6889.0361
3,89,7921.0337
3,97,9409.0309
3,101,10201.0297
3,103,10609.0291
3,107,11449.028
3,109,11881.0275
3,113,12769.0265
3,127,16129.0236
3,131,17161.0229
3,137,18769.0219
3,139,19321.0216
3,149,22201.0201
3,151,22801.0199
3,157,24649.0191
3,163,26569.0184
3,167,27889.018
3,173,29929.0173
3,179,32041.0168
3,181,32761.0166
3,191,36481.0157
3,193,37249.0155
3,197,38809.0152
3,199,39601.0151
3,211,44521.0142
3,223,49729.0135
